# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
11437	qTQDE2E21	551848.13	2964.06	-0.623224	208.31	0.0207982	0.121613	36.836	-0.0248238	9358.26	1.82596	0.188384	0.0104128	215.899	-0.00154664	-29.9626	0.00562664	18.28879	18.15132	-1588.39
11501	qTQFE1E22	554819.93	9262.05	1.73894	130.457	-0.0346627	0.172835	315.421	0.0409631	3004.19	-0.602194	0.243159	0.0126591	243.911	-0.0652649	-13.2757	0.00111709	18.37627	18.25224	-1600.48
11565	qTQDE2E23	557794.27	3152.37	-0.687049	313.286	0.0793852	0.26725	133.748	-0.0226362	9176.69	1.80778	0.324736	0.00377312	109.654	0.00906078	-16.4296	0.00530728	18.47597	18.34061	-1611.4
11628	qTQFE1E24	560768.61	9773.02	1.87531	22.7332	0.0113569	0.316286	254.975	0.0709507	2943.64	-0.608983	0.417115	0.00605324	175.126	-0.0259403	-0.179416	0.00523127	18.55869	18.44476	-1620.82
11691	qTQDE2E25	563745.49	3101.87	-0.612099	20.171	-0.00404356	0.0755082	8.70315	0.00788047	9218.71	1.79419	0.43391	0.00662447	160.665	0.064062	15.0272	-4.87833e-05	18.65602	18.53350	-1629.13
11754	qTQE26	566717.29	9147.6	1.80932	87.3248	-0.0465834	0.073665	64.6951	-0.00470581	3013.52	-0.63627	0.179617	0.00724754	374.565	-0.0485762	17.1599	0.00682549	18.74232	18.63570	-1636.91
11817	qTQDE2E27	569691.63	2864.87	-0.610997	400.235	0.0749216	0.172441	94.8988	-0.0378423	9441.31	1.8485	0.245357	0.00416678	301.574	0.0937121	23.9765	-0.00633352	18.84844	18.72247	-1644.53
11880	qTQE28	572665.97	9227.78	1.75431	100.808	-0.0036094	0.239131	395.701	0.0776683	2996.43	-0.611127	0.327528	0.010089	587.269	-0.104552	10.5715	-1.61547e-05	18.93814	18.82346	-1653.4
11943	qTQDE2E29	575642.85	3084.11	-0.662583	115.818	0.0397027	0.292554	78.5907	0.00336097	9197.19	1.81412	0.381424	0.0123142	352.304	0.0598766	11.8899	-0.00347257	19.03847	18.91097	-1662.8
12007	qTQFE1E32	578614.65	9537.97	1.82202	15.5629	-0.0114816	0.113949	63.5308	0.0232756	2924.71	-0.59449	0.400225	0.0135404	540.184	-0.118521	3.81737	-0.000670405	19.12250	19.01432	-1673.98
12071	qTQDE2E33	581588.99	3080.67	-0.628192	150.01	0.0159541	0.10479	19.0742	-0.0108979	9129.27	1.77624	0.262784	0.011248	257.155	0.0124337	-14.2047	-0.00067035	19.22090	19.10343	-1685.43
12134	qTQFE1E34	584563.33	9273.92	1.78505	95.647	-0.0270906	0.137494	174.055	0.0192939	2992.35	-0.624609	0.269748	0.0129492	320.822	-0.0812165	-16.0611	-0.00556183	19.30649	19.20608	-1697.72
12196	qTQDE2E35	587540.21	3021.68	-0.63636	302.968	0.0653422	0.20191	99.3944	-0.0260195	9301.95	1.82834	0.300546	0.0152401	140.819	0.0052443	-29.2731	0.00670054	19.40741	19.29285	-1709.42
12259	qTQFE1E36	590512.01	9323.62	1.77245	56.2041	0.000675375	0.219332	286.104	0.0630802	2945.42	-0.586055	0.359132	0.0178106	193.304	-0.037452	-9.45548	0.00329721	19.49314	19.39464	-1720.35
12323	qTQDE2E37	593486.35	3088.8	-0.654381	52.2778	0.0175165	0.230566	57.5442	0.00188677	9075.62	1.77673	0.40695	0.0108141	143.691	0.0473042	-5.28852	0.00369732	19.59274	19.48375	-1730.18
12386	qTQFE1E38	596460.69	9487.13	1.81681	25.9679	-0.0172544	0.0659413	53.0503	0.017653	2954.27	-0.619343	0.415796	0.0117281	312.584	-0.0401225	7.04344	0.0065346	19.67718	19.58762	-1738.96
12447	qTQDE2E39	599437.57	3074.77	-0.631488	250.983	0.0304905	0.0968417	27.1912	-0.0183921	9277.8	1.80926	0.246528	0.0124496	262.91	0.0877481	25.8815	-0.00272865	19.77606	19.67532	-1747.09
12511	qTQFE1E42	602409.37	9289.55	1.78445	132.002	-0.0307638	0.143685	259.851	0.0306613	2993.94	-0.606323	0.277027	0.0145515	534.75	-0.0861305	20.9387	0.00597072	19.86145	19.77670	-1755.53
12574	qTQDE2E43	605383.71	3024.55	-0.641533	268.307	0.0729445	0.232556	132.545	-0.0281461	9215.21	1.81152	0.349676	0.00657761	353.677	0.0774173	20.3864	-0.00751502	19.96305	19.86474	-1764.17
12636	qTQFE1E44	608358.05	9416.29	1.78209	14.2423	0.00829283	0.24848	298.676	0.0767203	2951.14	-0.604719	0.43623	0.00868129	590.208	-0.119764	0.185941	-0.00564861	20.04918	19.96815	-1774.45
12697	qTQDE2E45	611334.93	3133.81	-0.659803	52.1289	-0.00312938	0.0376183	19.2445	0.00992412	9166.08	1.79132	0.463824	0.00907618	306.977	0.0292786	-13.4327	0.000784715	20.14775	20.05679	-1785.17
12760	qTQFE1E46	614306.73	9526.15	1.83519	106.605	-0.0486363	0.0553738	39.6153	-0.00368735	2979.96	-0.617878	0.250598	0.00967094	413.49	-0.100454	-10.2777	-0.00195924	20.23145	20.15969	-1797.27
12822	qTQE47	617281.07	3023.41	-0.60328	401.138	0.0800784	0.142324	82.7184	-0.0368544	9302.28	1.78061	0.282736	0.00702348	179.318	0.000603923	-27.1774	0.00447	20.33152	20.24744	-1809.16
